CodigoOMM;NomeEstacao;Estado;EstadoDesc;EstadoRegiao;Latitude;Longitude;Altitude;EstacaoStituacao;OperanteDesde;Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/01/2018;0000;;;;;;;;;;0;;;;;;;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;28/02/2018;0000;14;4.539324;9;159;129.305689;80.786796;219.5;5.772321;;107.4;;944.4;31.389286;25.255714;20.996429;75.857143;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/03/2018;0000;14;4.051613;7.6;171.9;142.241263;43.186355;224.7;5.016129;;42.8;;944.824194;31.43871;25.776774;21.667742;72.806452;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;30/04/2018;0000;14;4.533333;7;118.5;128.036922;106.64377;162.1;6.833333;;106.6;;946.363793;28.803333;23.835333;20.74;81.866667;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/05/2018;0000;14;4.33871;7;98.4;128.199477;66.883999;186.4;7.451613;;66.8;;947.491935;27.848387;22.880645;19.848387;85.548387;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;30/06/2018;0000;14;3.935;9;91.1;121.587673;48.851231;186.4;7.533333;;51.8;;948.92;26.84;21.976;19.456667;85.833333;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/07/2018;0000;14;3.942623;7;94.6;124.545844;62.122223;179.6;7.645161;;62.1;;949.953226;26.203333;21.295484;18.293548;84;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/08/2018;0000;14;4.809677;7.2;156.1;130.6526;19.117227;243.7;4.491803;;19.1;;949.548387;28.346667;22.372;18.316129;76.6;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;30/09/2018;0000;14;5.466667;9;172.9;129.510852;23.305495;252.7;4.983333;;23.3;;947.49;29.663333;;;75.933333;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/10/2018;0000;14;4.610987;8.74548;;147.52799;0.00224;280.9;3.668478;;0;;944.591304;32.56;;;62.225;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;30/11/2018;0000;14;5.260004;8.74548;;142.673432;51.600397;268.6;4.564607;;51.6;;944.040449;31.59;;;64.87931;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/12/2018;0000;14;3.909744;7.20216;;146.447941;114.600073;218.9;5.486111;;114.6;;944.97;29.9;;;71.142857;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/01/2019;0000;14;4.736203;8.74548;;147.578948;12.600144;235.9;6.263587;;12.6;;945.566304;31.046667;;;68.816667;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;28/02/2019;0000;14;4.30373;8.74548;;136.571709;23.100034;225.4;6.051829;;23.1;;943.558537;32.788462;;;67.163462;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/03/2019;0000;14;3.782087;7.20216;;145.642934;145.642934;187.9;5.763889;;132.4;;945.527778;31.419231;;;79.019231;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;30/04/2019;0000;14;3.329409;7.20216;;136.99486;49.81381;239.8;5.407303;;21.8;;944.710112;30.903448;;;74.905172;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/05/2019;0000;14;4.096467;7.20216;;136.160528;24.858863;196.9;5.046296;;15.8;;946.301852;30.4;24.998889;21.573684;76.423077;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;30/06/2019;0000;14;3.466878;7.20216;;122.277789;122.277789;;7.690217;;126.7;;949.106522;25.97619;22.157;19.712;89.285714;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;31/07/2019;0000;14;2.326672;5.1444;;;;;7.194444;;300.6;;948.786667;24.654545;21.239;18.826087;91.5;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/01/2018;0000;9;2.179455;5.1444;;151.032534;19.82163;;4.610215;;9;;998.096774;33.748387;26.663871;20.648387;72.677419;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;28/02/2018;0000;9;2.523206;4.62996;;136.742485;33.941968;;5.133929;;31.7;;997.369048;33.992857;26.927857;21.403571;72.964286;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/03/2018;0000;9;1.945925;4.11552;;149.294962;48.071161;;5.564516;;47.3;;997.260215;33.877419;27.032903;21.883871;75.508065;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;30/04/2018;0000;0;1.377556;4.62996;;111.40892;111.40892;;5.958333;;114.1;;999.388889;30.523333;24.976;20.353333;82.6;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/05/2018;0000;0;1.366308;4.62996;;98.144883;98.144883;;5.887097;;113.3;;;29.003226;23.994194;19.683871;87.217742;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;30/06/2018;0000;0;1.148916;4.62996;;82.459321;82.459321;;6.125;;178.8;;;27.906667;22.898;18.656667;89.05;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/07/2018;0000;0;1.327587;3.60108;;74.927706;62.263294;;5.268817;;20;;;27.658065;21.93871;16.222581;84.798387;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/08/2018;0000;9;1.692674;4.11552;;84.081948;70.079566;;5.107527;;55.9;;1003.17957;28.964516;22.677419;17.064516;83.201613;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;30/09/2018;0000;9;1.79765;4.62996;;92.932711;55.13383;;4.620787;;36.3;;;30.13;23.372667;16.916667;78.666667;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/10/2018;0000;9;2.259063;5.65884;;121.84167;92.287292;;5.954301;;84.6;;999.153763;32.012903;25.137419;19.180645;76.870968;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;30/11/2018;0000;9;2.149216;5.65884;;120.749909;87.649633;;5.611111;;82.2;;998.704444;31.246667;25.214;19.68;79.408333;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/12/2018;0000;9;1.847559;5.1444;;143.465664;39.304683;;5.577957;;31.5;;998.951613;33.403226;26.22;20.1;74.741935;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/01/2019;0000;9;2.234772;5.1444;;146.013276;8.155774;;3.938172;;5.3;;999.831183;34.1;26.44129;19.658065;71.346774;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;28/02/2019;0000;9;2.192494;5.1444;;152.516781;2.520801;;6.08631;;1.8;;997.386905;36.396429;28.167143;21.646429;71.125;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/03/2019;0000;9;1.692674;5.1444;;152.627202;152.627202;;5.725806;;164.9;;998.084946;34.112903;27.162581;21.335484;76.604839;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;30/04/2019;0000;0;1.303248;4.62996;;126.722621;97.846277;;5.486111;;94.4;;998.476667;31.87;26.158667;21.07;85.125;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/05/2019;0000;0;1.150575;3.60108;;114.992575;77.319338;;5.282258;;74.3;;999.183871;30.935484;25.18;19.983871;87.306452;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;30/06/2019;0000;0;1.410375;4.11552;;84.632118;84.632118;;6.27809;;225.3;;;28.206667;23.123448;18.351724;90.225;;
83249;ALAGOINHAS;BA;Bahia;Nordeste;-12.14;-38.42;130.92;Estação Operante;01/01/1931;83249;31/07/2019;0000;0;1.559915;5.1444;;;;;5.967742;;190.2;;;27.619355;22.392667;17.287097;89.491935;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/01/2018;0000;0;1.108602;3.7;51.2;150.041839;150.041839;182.6;6.903226;;190.4;;998.545161;;;23.264516;79.096774;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;28/02/2018;0000;0;0.703571;3.5;34.9;134.79759;134.79759;97.4;8.011905;;279.9;1007.27381;998.882143;;;23.139286;84.901786;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/03/2018;0000;0;0.882796;4.3;41.9;148.253256;148.253256;152.5;7.806452;;514.2;1007.38022;998.921505;;;23.141935;84.175;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;30/04/2018;0000;0;0.998889;5;38.1;109.739776;109.739776;146.6;7.122222;;333.3;;999.816667;;;22.733333;84.383333;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/05/2018;0000;0;0.997849;3;51.1;146.183481;120.651315;217.1;6.268817;;65.2;1008.81828;;;;23.470968;79.379032;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;30/06/2018;0000;0;0.734444;3.6;62.1;148.585149;103.300534;254.8;4.744444;;81.6;;;;;23.06;76.181034;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/07/2018;0000;0;1.124638;2.8;64.9;145.871586;54.9489;;5.275362;;40.3;;;;;22.682609;73.597826;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/08/2018;0000;0;1.209677;4.3;77.1;146.65109;43.818071;278.2;5.516129;;38.6;;;;;23.090323;71.83871;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;30/09/2018;0000;0;1.104478;4.3;49.4;142.975791;70.00675;214.7;4.970149;;68.6;;998.713433;;;23.672727;70.897727;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/10/2018;0000;0;1.263043;4;82.2;148.843421;39.351663;257.5;5.663043;;38.5;1006.78913;998.356522;;;24.222581;67.629032;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;30/11/2018;0000;0;1.112222;3.5;74.6;144.961019;144.961019;167.5;6.733333;;216.4;1006.13;997.733333;;;24.17;71.941667;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/12/2018;0000;0;0.954839;3.2;45.1;150.251056;150.251056;142.1;7.172043;;305.9;;999.974194;;;22.374194;81.403226;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/01/2019;0000;0;1.005376;3.3;44;150.041839;150.041839;143.4;7.27957;;297.3;;1000.17957;;;22.348387;82.887097;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;28/02/2019;0000;0;1.322619;7;33.1;134.79759;134.79759;100.3;7.916667;;256.6;1008.2;999.709524;;;22.560714;84.669643;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/03/2019;0000;0;1.3;4.7;30.8;148.253059;148.253059;121.2;7.780488;;216.6;;999.871951;;;22.4;85.601852;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;30/04/2019;0000;0;0.851685;3.3;33.8;142.368471;142.368471;139.1;7.179775;;313.3;;999.768539;;;22.536667;85.258333;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/05/2019;0000;0;0.809677;3;44.2;146.1848;146.1848;201.3;6.612903;;292.1;;999.324731;;;22.832258;81.483871;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;30/06/2019;0000;0;0.934247;3;51.2;140.992747;122.383935;207.3;5.315068;;73.1;;;;;22.56;77.708333;;
82353;ALTAMIRA;PA;Para;Norte;-3.21;-52.21;74.04;Estação Operante;24/04/1927;82353;31/07/2019;0000;;;;;;;;;;29.7;;;;;;;;
82970;ALTO PARNAIBA;MA;Maranhao;Nordeste;-9.1;-45.93;285.05;Estação Operante;21/08/1976;82970;31/01/2018;0000;14;1.065591;3;91.3;147.287611;147.287611;170.8;5.462366;;195.1;;978.005376;32.635484;26.027742;21.76129;78.483333;;
82970;ALTO PARNAIBA;MA;Maranhao;Nordeste;-9.1;-45.93;285.05;Estação Operante;21/08/1976;82970;28/02/2018;0000;;;;58.6;129.636771;129.636771;132.4;7.297619;;185.8;;978.2;31.014286;25.695;22.332143;83.894231;;
82970;ALTO PARNAIBA;MA;Maranhao;Nordeste;-9.1;-45.93;285.05;Estação Operante;21/08/1976;82970;31/03/2018;0000;;1.247692;4.1;70.9;143.051153;143.051153;156.4;6.150538;;290.1;;978.356989;32.087097;26.274839;22.503226;81.275;;
82970;ALTO PARNAIBA;MA;Maranhao;Nordeste;-9.1;-45.93;285.05;Estação Operante;21/08/1976;82970;30/04/2018;0000;0;0.957778;3.6;93.1;135.266739;131.912981;183.6;5.011111;;108.7;;979.352222;32.496667;26.344;21.86;76.491667;;
82970;ALTO PARNAIBA;MA;Maranhao;Nordeste;-9.1;-45.93;285.05;Estação Operante;21/08/1976;82970;31/05/2018;0000;0;1.319355;5;163.5;138.491131;57.188869;276.9;3.44086;;0;;980.011828;34.125806;26.663871;20.464516;65.112903;;
82970;ALTO PARNAIBA;MA;Maranhao;Nordeste;-9.1;-45.93;285.05;Estação Operante;21/08/1976;82970;30/06/2018;0000;14;1.226136;4;;135.60667;14.177086;285.6;2;;0;;981.347778;33.863333;25.073333;17.29;59.723214;;
