codigo_omm,station_name,state,state_initials,region,latitude,longitude,altitude,altitude_type,start_operation_date,station_situation,data_situation,data,hora,temp_comp_media,umidade_relativa_media,velocidade_vento_media
82989,AGUA BRANCA,Alagoas,AL,Nosdeste,-9.28,-37.9,605.34,meters,1928-05-05,operante,operante,01/01/2016,0000,25.18,69,6.94494,
82989,AGUA BRANCA,Alagoas,AL,Nosdeste,-9.28,-37.9,605.34,meters,1928-05-05,operante,operante,02/01/2016,0000,26.9,64,4.11552,
82989,AGUA BRANCA,Alagoas,AL,Nosdeste,-9.28,-37.9,605.34,meters,1928-05-05,operante,operante,03/01/2016,0000,,44,3.08664,
83249,ALAGOINHAS,Bahia,BA,Nordeste,-12.14,-38.42,130.92,meters,1931-01-01,operante,operante,01/01/2016,0000,26.98,62.25,2.05776,
83249,ALAGOINHAS,Bahia,BA,Nordeste,-12.14,-38.42,130.92,meters,1931-01-01,operante,operante,02/01/2016,0000,27.3,66.5,1.20036,
83249,ALAGOINHAS,Bahia,BA,Nordeste,-12.14,-38.42,130.92,meters,1931-01-01,operante,operante,03/01/2016,0000,29.32,64.75,2.40072,
82353,ALTAMIRA,Para,PA,Norte,-3.21,-52.21,74.04,meters,1927-04-24,operante,operante,01/01/2016,0000,27.04,88,0.966667,
82353,ALTAMIRA,Para,PA,Norte,-3.21,-52.21,74.04,meters,1927-04-24,operante,operante,02/01/2016,0000,27.06,82.75,1.466667,
82353,ALTAMIRA,Para,PA,Norte,-3.21,-52.21,74.04,meters,1927-04-24,operante,operante,03/01/2016,0000,29.2,74,0.966667,
82970,ALTO PARNAIBA,Maranhao,MA,Nordeste,-9.1,-45.93,285.05,meters,1976-08-21,operante,operante,01/01/2016,0000,27.14,76.25,0.966667,
82970,ALTO PARNAIBA,Maranhao,MA,Nordeste,-9.1,-45.93,285.05,meters,1976-08-21,operante,operante,02/01/2016,0000,26.64,76.5,2.066667,
82970,ALTO PARNAIBA,Maranhao,MA,Nordeste,-9.1,-45.93,285.05,meters,1976-08-21,operante,operante,03/01/2016,0000,27.62,78.75,1.1,
82590,APODI,Rio_Grande_do_Norte,RN,Nordeste,-5.61,-37.81,150.00,meters,1962-12-18,operante,operante,01/01/2016,0000,29.08,61.75,1.7148,
82590,APODI,Rio_Grande_do_Norte,RN,Nordeste,-5.61,-37.81,150.00,meters,1962-12-18,operante,operante,02/01/2016,0000,28.94,62.75,1.54332,
82590,APODI,Rio_Grande_do_Norte,RN,Nordeste,-5.61,-37.81,150.00,meters,1962-12-18,operante,operante,03/01/2016,0000,28.78,73.5,2.40072,
83096,ARACAJU,Sergipe,SE,Nordeste,-10.95,-37.04,4.72,meters,1910-03-01,operante,operante,01/01/2016,0000,27.3,65.75,2.5722,
83096,ARACAJU,Sergipe,SE,Nordeste,-10.95,-37.04,4.72,meters,1910-03-01,operante,operante,02/01/2016,0000,27.42,68.25,2.74368,
83096,ARACAJU,Sergipe,SE,Nordeste,-10.95,-37.04,4.72,meters,1910-03-01,operante,operante,03/01/2016,0000,27.7,69.75,2.5722,
83442,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.00,meters,1918-09-06,operante,operante,01/01/2016,0000,30.78,43,0.333333,
83442,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.00,meters,1918-09-06,operante,operante,02/01/2016,0000,32.04,43.5,0.666667,
83442,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.00,meters,1918-09-06,operante,operante,03/01/2016,0000,28.24,66,0.666667,
83368,ARAGARCAS,Goias,GO,Centro-Oeste,-15.9,-52.23,345.00,meters,1970-07-19,operante,operante,01/01/2016,0000,26.72,76.25,1.02888,
83368,ARAGARCAS,Goias,GO,Centro-Oeste,-15.9,-52.23,345.00,meters,1970-07-19,operante,operante,02/01/2016,0000,26.24,87.75,0.68592,
83368,ARAGARCAS,Goias,GO,Centro-Oeste,-15.9,-52.23,345.00,meters,1970-07-19,operante,operante,03/01/2016,0000,27.4,75,1.02888,
