codigo_omm,station_name,state,state_initials,region,latitude,longitude,altitude,altitude_type,start_operation_date,station_situation,data_situation,data,hora,temp_comp_media,umidade_relativa_media,velocidade_vento_media
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,01/01/2016,0000,29,70.5,1.933333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,02/01/2016,0000,28.8,75,2.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,03/01/2016,0000,28.58,76.5,1.8,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,04/01/2016,0000,27.68,76.5,2.9,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,05/01/2016,0000,28.56,73,3.733333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,06/01/2016,0000,28.64,72.75,2.4,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,07/01/2016,0000,28.34,75.5,3.633333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,08/01/2016,0000,28.4,69.25,3.633333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,09/01/2016,0000,28.12,69.25,2.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,10/01/2016,0000,28.16,75,1.1,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,11/01/2016,0000,26.2,90.25,1.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,12/01/2016,0000,26.46,85,0.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,13/01/2016,0000,27.68,77.75,1,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,14/01/2016,0000,28.28,80,1.8,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,15/01/2016,0000,27.68,81.5,2.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,16/01/2016,0000,28.76,75.75,2.033333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,17/01/2016,0000,28.66,73.75,1.7,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,18/01/2016,0000,27.64,78.5,1.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,19/01/2016,0000,26.88,81,1.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,20/01/2016,0000,25.76,86.25,2.233333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,21/01/2016,0000,27.54,79,2.866667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,22/01/2016,0000,27.48,78.75,1.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,23/01/2016,0000,27.8,77.5,1.366667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,24/01/2016,0000,28.68,72.25,2.266667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,25/01/2016,0000,,79.25,2.733333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,26/01/2016,0000,27.22,81,1.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,27/01/2016,0000,26.86,83.5,1.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,28/01/2016,0000,27.84,78.25,1.966667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,29/01/2016,0000,25.78,84.5,1.2,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,30/01/2016,0000,24.88,92.5,0.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,31/01/2016,0000,25.24,88.25,0.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,01/02/2016,0000,24.74,93,1,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,02/02/2016,0000,26,86.75,1.3,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,03/02/2016,0000,26.48,86.5,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,04/02/2016,0000,25.28,95.5,1.4,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,05/02/2016,0000,26.2,86.75,1,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,06/02/2016,0000,27.14,83.25,0.5,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,07/02/2016,0000,28.24,78.25,0.533333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,08/02/2016,0000,27.88,80.25,2.166667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,09/02/2016,0000,29.1,75.5,2.266667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,10/02/2016,0000,27.24,86.75,0.566667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,11/02/2016,0000,25.42,88.25,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,12/02/2016,0000,26.14,86.5,0.766667,
